File,Max Bits,Compression Success,Compression Time (s),Decompression Success,Decompression Time (s),Match Original,Original Size (bytes),Compressed Size (bytes),Size Delta (bytes),File Type,CPU Usage (%),Memory Usage (%),Disk Usage (%),Compression Output,Decompression Output
long_random_chars.txt,13,True,0.12799715995788574,True,0.08132743835449219,True,620,496,124.0,.txt,0.0,0.0,6.325717187411128e-05,"Tempo de execução: 0.0446 segundos
Taxa de compressão: 2.5000
","Tempo de execução: 0.0004 segundos
Taxa de descompressão: 2.5000
"
large_image.bmp,13,True,74.61772680282593,True,0.08600378036499023,False,2073600,2536,2071064.0,.bmp,16.080402010050264,0.04023760848905321,0.00012387826256466907,"Tempo de execução: 74.5395 segundos
Taxa de compressão: 1635.3312
","Tempo de execução: 0.0013 segundos
Taxa de descompressão: 63.8801
"
mixed_ascii_binary.bin,13,True,0.08360624313354492,True,0.06472277641296387,False,400,0,,.bin,0.0,0.0,5.534964462760667e-05,"Tempo de execução: 0.0166 segundos
Taxa de compressão: 0.0000
","Tempo de execução: 0.0000 segundos
Taxa de descompressão: 0.0000
"
random_english_words.txt,13,True,0.16373252868652344,True,0.07639169692993164,True,1850,686,1164.0,.txt,0.0,0.0,5.00781944649626e-05,"Tempo de execução: 0.0849 segundos
Taxa de compressão: 5.3936
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 5.3936
"
sequential_numbers.txt,13,True,0.12523603439331055,True,0.07012724876403809,True,1000,274,726.0,.txt,21.445221445221456,3.560766977162716,4.744236247150987e-05,"Tempo de execução: 0.0382 segundos
Taxa de compressão: 7.2993
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 7.2993
"
json_nested.txt,13,True,0.12116789817810059,True,0.07012677192687988,True,840,416,424.0,.txt,4.807692307692322,0.0,7.643468765320708e-05,"Tempo de execução: 0.0468 segundos
Taxa de compressão: 4.0385
","Tempo de execução: 0.0003 segundos
Taxa de descompressão: 4.0385
"
short_text.txt,13,True,0.1651468276977539,True,0.07600760459899902,True,13,26,-13.0,.txt,38.419618528610364,0.0,5.2713412358469766e-05,"Compressão aumentou o tamanho do arquivo. Retornando o original.
Tempo de execução: 0.0996 segundos
Taxa de compressão: 1.0000
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 1.0000
"
css_snippet.css,13,True,0.12354254722595215,True,0.07952547073364258,True,1040,440,600.0,.css,0.0,0.10702040002329966,4.7441937328410095e-05,"Tempo de execução: 0.0599 segundos
Taxa de compressão: 4.7273
","Tempo de execução: 0.0005 segundos
Taxa de descompressão: 4.7273
"
long_numbers.txt,13,True,0.13999581336975098,True,0.07913804054260254,True,2000,390,1610.0,.txt,0.0,0.0,4.744180103414692e-05,"Tempo de execução: 0.0620 segundos
Taxa de compressão: 10.2564
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 10.2564
"
empty_string.txt,13,True,0.1643671989440918,True,0.07856392860412598,True,0,0,,.txt,0.0,0.1890029079660013,6.852682739634033e-05,"Compressão aumentou o tamanho do arquivo. Retornando o original.
Tempo de execução: 0.0946 segundos
Taxa de compressão: 0.0000
","Tempo de execução: 0.0005 segundos
Taxa de descompressão: 0.0000
"
numeric_sequence.txt,13,True,0.09126091003417969,True,0.08298945426940918,True,40,48,-8.0,.txt,13.239436619718306,0.0,5.5348524254158205e-05,"Tempo de execução: 0.0166 segundos
Taxa de compressão: 1.6667
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 1.6667
"
repeated_text.txt,13,True,0.20233511924743652,True,0.08301043510437012,True,2850,1070,1780.0,.txt,3.661971830985902,0.13467780240658644,4.744145467518536e-05,"Tempo de execução: 0.1315 segundos
Taxa de compressão: 5.3271
","Tempo de execução: 0.0004 segundos
Taxa de descompressão: 5.3271
"
code_snippet.py,13,True,0.15274548530578613,True,0.07213354110717773,True,1410,676,734.0,.py,0.0,0.10313461938178616,4.744131088143425e-05,"Tempo de execução: 0.0725 segundos
Taxa de compressão: 4.1716
","Tempo de execução: 0.0004 segundos
Taxa de descompressão: 4.1716
"
xml_snippet.xml,13,True,0.13628029823303223,True,0.07575488090515137,True,960,410,550.0,.xml,0.0,0.10941354340733667,6.325486944550756e-05,"Tempo de execução: 0.0604 segundos
Taxa de compressão: 4.6829
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 4.6829
"
large_text_file.txt,13,True,0.17907357215881348,True,0.07187104225158691,True,2000,886,1114.0,.txt,26.054590570719622,0.02372088360787692,5.271222865721396e-05,"Tempo de execução: 0.1029 segundos
Taxa de compressão: 4.5147
","Tempo de execução: 0.0005 segundos
Taxa de descompressão: 4.5147
"
small_text_file.txt,13,True,0.09923100471496582,True,0.08088254928588867,True,47,86,-39.0,.txt,30.674846625766893,0.026967620018302288,5.798324979879812e-05,"Tempo de execução: 0.0208 segundos
Taxa de compressão: 1.0930
","Tempo de execução: 0.0001 segundos
Taxa de descompressão: 1.0930
"
binary_file.bin,13,True,0.1733710765838623,True,0.07670164108276367,False,5000,118,4882.0,.bin,0.0,0.0,5.798308322462165e-05,"Tempo de execução: 0.0959 segundos
Taxa de compressão: 84.7458
","Tempo de execução: 0.0002 segundos
Taxa de descompressão: 3.3898
"
large_text.txt,13,True,2.006078004837036,True,0.08115530014038086,True,57000,5028,51972.0,.txt,0.0,0.1959266270127278,6.588967974953698e-05,"Tempo de execução: 1.9291 segundos
Taxa de compressão: 22.6730
","Tempo de execução: 0.0019 segundos
Taxa de descompressão: 22.6730
"
